Token,balanceVariability,theftOrInflation,tokenVuln,transferConstraints,unpredictableLogic,viewInaccuracies
arbitrum | Pendle,,,,,x,
arbitrum | Lido DAO Token,,,,,x,
arbitrum | Gains Network,,,,,,
arbitrum | Wrapped BTC,,,,,x,
arbitrum | Radiant,,,,,,
arbitrum | Camelot token,,,,,,
arbitrum | Matic Token,,,,,x,
arbitrum | Wrapped liquid staked Ether 2.0,,,,,x,
arbitrum | Wrapped Ether,,,,,x,
arbitrum | Arbitrum,,,x,,x,
arbitrum | LUSD Stablecoin,,,,,x,
arbitrum | Frax Share,,,,,,
arbitrum | Dai Stablecoin,,,,,,
arbitrum | USD Coin (Arb1),,,x,x,x,
arbitrum | Uniswap,,,,,x,
arbitrum | Tether USD,,,,x,x,
arbitrum | SushiToken,,,,,x,
arbitrum | Kyber Network Crystal v2,,,,,x,
arbitrum | ChainLink Token,,,,,x,
arbitrum | GMX,,,,x,x,
ethereum | yearn.finance,,,,,,
ethereum | Uniswap,x,x,,,,x
ethereum | Wrapped BTC,,,,x,,
ethereum | Frax Share,x,x,,x,,
ethereum | Badger,,,,x,x,
ethereum | SAND,,,,,,
ethereum | Paxos Gold,x,,,x,x,
ethereum | Wootrade Network,,,,,,
ethereum | ApeCoin,,,,,,
ethereum | TRON,,,,,x,
ethereum | ChainLink Token,,,,,,
ethereum | Lido DAO Token,x,x,,x,x,x
ethereum | Gnosis Token,,,,,,
ethereum | Pepe,,,,x,,
ethereum | Dai Stablecoin,,,,,,
ethereum | SushiToken,x,x,,x,,x
ethereum | Matic Token,,,,x,,
ethereum | Wrapped liquid staked Ether 2.0,,,,,,
ethereum | SHIBA INU,,,,,,
ethereum | Maker DAI,,,,x,x,
ethereum | USD Coin,,,,x,x,
ethereum | Chain,,,,,,
ethereum | LoopringCoin V2,,,,,,
ethereum | Synthetix Network Token,x,x,,x,x,x
ethereum | Wrapped Ether,,,,,,
ethereum | Ethereum Name Service,,,,,,
ethereum | BitTorrent,,,,,x,
ethereum | Perpetual,,,,,,
ethereum | Kyber Network Crystal v2,,,,,x,
optimism | Wrapped liquid staked Ether 2.0,,,,,x,
optimism | ChainLink Token,,,,,,
optimism | Wrapped Ether,,,,,,
optimism | Optimism,,,,,x,
optimism | Frax Share,,,,,,
optimism | Wrapped BTC,,,,,,
optimism | USD Coin,,,,x,,
optimism | Perpetual,,,,,,
optimism | Lido DAO Token,,,,,,
optimism | Kyber Network Crystal v2,,,,,,
optimism | LUSD Stablecoin,,,,,,
polygon | Wrapped liquid staked Ether 2.0 (PoS),,,,,x,
polygon | (PoS) Wrapped BTC,,,,,x,
polygon | USD Coin (PoS),,,,x,x,
polygon | ChainLink Token,,,,,x,
polygon | Wrapped Ether,,,,,x,
polygon | Balancer (PoS),,,,,x,
polygon | SAND,,,,,x,
polygon | Aave (PoS),,,,,x,
zksync | USD Coin,,,,,,
zksync | Tether USD,,,,,,
zksync | Wrapped Ether,,,,,x,
zksync | Wrapped BTC,,,,,x,
